1 0 0.0 1 1
2 4 0.0 1 1
3 11 0.0 1 1
4 29 0.0010001659393310547 1 1
5 66 0.002000093460083008 1 1
6 102 0.002999544143676758 1 1
7 117 0.0029990673065185547 1 1
8 126 0.0030002593994140625 1 1
9 140 0.005001068115234375 1 1
10 169 0.004000186920166016 1 1
11 200 0.004999399185180664 1 1
12 237 0.004999637603759766 1 1
13 273 0.006000041961669922 1 1
14 286 0.006999969482421875 1 1
15 294 0.012999534606933594 3 2
16 304 0.013000249862670898 3 2
17 309 0.011999845504760742 3 2
18 315 0.013000249862670898 3 2
19 358 0.03699755668640137 9 5
20 366 0.04999995231628418 13 7
21 400 1.0079996585845947 285 143
22 442 1.1510002613067627 289 145
23 474 1.290999174118042 291 146
24 477 1.3449997901916504 291 146
25 502 1.4479999542236328 293 147
26 505 1.547999382019043 293 147
