1 0 0.007999897003173828 1 1
2 4 0.007999658584594727 1 1
3 11 0.011000633239746094 1 1
4 29 0.009000778198242188 1 1
5 66 0.011394023895263672 1 1
6 102 0.010789632797241211 1 1
7 117 0.013897895812988281 1 1
8 126 0.006723880767822266 1 1
9 140 0.009874582290649414 1 1
10 169 0.009881258010864258 1 1
11 200 0.009000301361083984 1 1
12 237 0.01199960708618164 1 1
13 273 0.009998798370361328 1 1
14 286 0.012001276016235352 1 1
15 294 0.022001266479492188 3 2
16 304 0.017000436782836914 3 2
17 309 0.01699995994567871 3 2
18 315 0.01900005340576172 3 2
19 358 0.04200029373168945 9 5
20 366 0.05725741386413574 13 7
21 400 1.2731881141662598 325 163
22 442 1.3716974258422852 329 165
23 474 1.5362496376037598 331 166
24 477 1.6142921447753906 331 166
25 502 1.7680678367614746 335 168
26 505 1.8218128681182861 335 168
